slang,baku,konteks
engga,enggak,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
emang,memang,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
g,enggak,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
ga,enggak,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
kalik,kali,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
ak,aku,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
mba,mbak,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
yg,yang,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
lbh,lebih,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
yah,ya,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
g,enggak,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
bilangin,bilang,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
yg,yang,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
g,enggak,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
nyambungin,menyambung,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
yg,yang,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
d,di,"@nixieayu semoga aja ngalir kalau sabar :) setiap org px kslhn dan bisa berubah, kalau skrngnya udh lbh baik knp engga. Tuhan maha pengasih mba, pembunuh berdarah dingin kalau tobat nasuha emang g akan di maafkan ?! Allah ga sepelit itu kalik :) ak rasa mba yg lbh tahu agama lah yah g usah aku bilangin. yg jelas menghujat itu dosa g usah nyambungin siapa yg d hujat"
uda,sudah,"Kalau sekarang wulan sari uda lebih baik??? MASA SIH.....yg ada makin sering bikin sensasi, bajunya aja sllu kekurangan bahan, minta maaf di YouTube, org goblok pun tahu cara minta maaf tu scra langsung. Cium dulu kaki bunda @maiaestiantyreal"
yg,yang,"Kalau sekarang wulan sari uda lebih baik??? MASA SIH.....yg ada makin sering bikin sensasi, bajunya aja sllu kekurangan bahan, minta maaf di YouTube, org goblok pun tahu cara minta maaf tu scra langsung. Cium dulu kaki bunda @maiaestiantyreal"
sllu,selalu,"Kalau sekarang wulan sari uda lebih baik??? MASA SIH.....yg ada makin sering bikin sensasi, bajunya aja sllu kekurangan bahan, minta maaf di YouTube, org goblok pun tahu cara minta maaf tu scra langsung. Cium dulu kaki bunda @maiaestiantyreal"
org,orang,"Kalau sekarang wulan sari uda lebih baik??? MASA SIH.....yg ada makin sering bikin sensasi, bajunya aja sllu kekurangan bahan, minta maaf di YouTube, org goblok pun tahu cara minta maaf tu scra langsung. Cium dulu kaki bunda @maiaestiantyreal"
tu,itu,"Kalau sekarang wulan sari uda lebih baik??? MASA SIH.....yg ada makin sering bikin sensasi, bajunya aja sllu kekurangan bahan, minta maaf di YouTube, org goblok pun tahu cara minta maaf tu scra langsung. Cium dulu kaki bunda @maiaestiantyreal"
scra,secara,"Kalau sekarang wulan sari uda lebih baik??? MASA SIH.....yg ada makin sering bikin sensasi, bajunya aja sllu kekurangan bahan, minta maaf di YouTube, org goblok pun tahu cara minta maaf tu scra langsung. Cium dulu kaki bunda @maiaestiantyreal"
g,enggak,"kalau orang pintar mah g usah nggali dosa dari menghujat org lain :) alhamdulillah saya meminimalkan hujatan ke publik figur yg g saya suka dengan cara g usah stalking yg ujungnya sok ikut cmpur urusan org, menghujat, cukup memuji dan support idola aja ??"
nggali,menggali,"kalau orang pintar mah g usah nggali dosa dari menghujat org lain :) alhamdulillah saya meminimalkan hujatan ke publik figur yg g saya suka dengan cara g usah stalking yg ujungnya sok ikut cmpur urusan org, menghujat, cukup memuji dan support idola aja ??"
org,orang,"kalau orang pintar mah g usah nggali dosa dari menghujat org lain :) alhamdulillah saya meminimalkan hujatan ke publik figur yg g saya suka dengan cara g usah stalking yg ujungnya sok ikut cmpur urusan org, menghujat, cukup memuji dan support idola aja ??"
yg,yang,"kalau orang pintar mah g usah nggali dosa dari menghujat org lain :) alhamdulillah saya meminimalkan hujatan ke publik figur yg g saya suka dengan cara g usah stalking yg ujungnya sok ikut cmpur urusan org, menghujat, cukup memuji dan support idola aja ??"
g,enggak,"kalau orang pintar mah g usah nggali dosa dari menghujat org lain :) alhamdulillah saya meminimalkan hujatan ke publik figur yg g saya suka dengan cara g usah stalking yg ujungnya sok ikut cmpur urusan org, menghujat, cukup memuji dan support idola aja ??"
g,enggak,"kalau orang pintar mah g usah nggali dosa dari menghujat org lain :) alhamdulillah saya meminimalkan hujatan ke publik figur yg g saya suka dengan cara g usah stalking yg ujungnya sok ikut cmpur urusan org, menghujat, cukup memuji dan support idola aja ??"
yg,yang,"kalau orang pintar mah g usah nggali dosa dari menghujat org lain :) alhamdulillah saya meminimalkan hujatan ke publik figur yg g saya suka dengan cara g usah stalking yg ujungnya sok ikut cmpur urusan org, menghujat, cukup memuji dan support idola aja ??"
cmpur,campur,"kalau orang pintar mah g usah nggali dosa dari menghujat org lain :) alhamdulillah saya meminimalkan hujatan ke publik figur yg g saya suka dengan cara g usah stalking yg ujungnya sok ikut cmpur urusan org, menghujat, cukup memuji dan support idola aja ??"
y,ya,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
gk,enggak,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
elo,lo,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
utk,untuk,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
jg,juga,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
dgr,dengar,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
elo,lo,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
gk,enggak,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
y,ya,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
gak,enggak,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
gitu,begitu,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
aja,saja,"Cup cup cup @nindya.auliya sabar y istri ke 3, gue gk kenal elo, utk apa jg gue dgr kata elo, kalau dia gk mau punya haters y gak usah punya sosmedlah. GITU AJA KOK REPOT, wkwkwk"
kurng,kurang,dasar haters para ababil? kurng menikmati hidup dan bahagia kali ya :)
kepoin,mengepoi,"Mau ditabok duit tiap hari? Mau dapat duit banyak hanya dengan main hp? Yuk join bareng aku.di database supplier ,,,kepoin ig aku yuk,,dibimbing sampe bisa loh kak,, kapan lagi bisa jadi jutawan muda ???"
sampe,sampai,"Mau ditabok duit tiap hari? Mau dapat duit banyak hanya dengan main hp? Yuk join bareng aku.di database supplier ,,,kepoin ig aku yuk,,dibimbing sampe bisa loh kak,, kapan lagi bisa jadi jutawan muda ???"
nangis,menangis,Ya allah lucu inget anak pas baru lahir nangis kenceng bnget????
bnget,banget,Ya allah lucu inget anak pas baru lahir nangis kenceng bnget????
nangiiiiis,menangis,"Nangiiiiis ... Bagus sekali tuh anak , takut dosa .... makanya nangiiis"
nangiiis,menangis,"Nangiiiiis ... Bagus sekali tuh anak , takut dosa .... makanya nangiiis"
kasian,kasihan,"@wulandahri_vina ya bener banget , mereka kurang menikmati hidup,kasian banget selama hidupnya cuma  bisa ngomentarin kehidupan org,tuhan aja maha pemaaf, lah ini manusia suka nya menghakimi org, udh kaya tuhan aja idupnya, awas mulutmu bisa jadi kutukan tuhan"
ngomentarin,mengomentari,"@wulandahri_vina ya bener banget , mereka kurang menikmati hidup,kasian banget selama hidupnya cuma  bisa ngomentarin kehidupan org,tuhan aja maha pemaaf, lah ini manusia suka nya menghakimi org, udh kaya tuhan aja idupnya, awas mulutmu bisa jadi kutukan tuhan"
org,orang,"@wulandahri_vina ya bener banget , mereka kurang menikmati hidup,kasian banget selama hidupnya cuma  bisa ngomentarin kehidupan org,tuhan aja maha pemaaf, lah ini manusia suka nya menghakimi org, udh kaya tuhan aja idupnya, awas mulutmu bisa jadi kutukan tuhan"
aja,saja,"@wulandahri_vina ya bener banget , mereka kurang menikmati hidup,kasian banget selama hidupnya cuma  bisa ngomentarin kehidupan org,tuhan aja maha pemaaf, lah ini manusia suka nya menghakimi org, udh kaya tuhan aja idupnya, awas mulutmu bisa jadi kutukan tuhan"
org,orang,"@wulandahri_vina ya bener banget , mereka kurang menikmati hidup,kasian banget selama hidupnya cuma  bisa ngomentarin kehidupan org,tuhan aja maha pemaaf, lah ini manusia suka nya menghakimi org, udh kaya tuhan aja idupnya, awas mulutmu bisa jadi kutukan tuhan"
udh,sudah,"@wulandahri_vina ya bener banget , mereka kurang menikmati hidup,kasian banget selama hidupnya cuma  bisa ngomentarin kehidupan org,tuhan aja maha pemaaf, lah ini manusia suka nya menghakimi org, udh kaya tuhan aja idupnya, awas mulutmu bisa jadi kutukan tuhan"
idupnya,hidupnya,"@wulandahri_vina ya bener banget , mereka kurang menikmati hidup,kasian banget selama hidupnya cuma  bisa ngomentarin kehidupan org,tuhan aja maha pemaaf, lah ini manusia suka nya menghakimi org, udh kaya tuhan aja idupnya, awas mulutmu bisa jadi kutukan tuhan"
ortunya,orang tuanya,@setyorini_78 ya ampun anda .. Cukup Bully ortunya.. Ini bayi gk tau dosa ibu bapaknya woey!! bloghhh biadab lah org2 yg sukanya ngomongin orang terus
gk,enggak,@setyorini_78 ya ampun anda .. Cukup Bully ortunya.. Ini bayi gk tau dosa ibu bapaknya woey!! bloghhh biadab lah org2 yg sukanya ngomongin orang terus
woey,woy,@setyorini_78 ya ampun anda .. Cukup Bully ortunya.. Ini bayi gk tau dosa ibu bapaknya woey!! bloghhh biadab lah org2 yg sukanya ngomongin orang terus
bloghhh,goblok,@setyorini_78 ya ampun anda .. Cukup Bully ortunya.. Ini bayi gk tau dosa ibu bapaknya woey!! bloghhh biadab lah org2 yg sukanya ngomongin orang terus
org2,orang-orang,@setyorini_78 ya ampun anda .. Cukup Bully ortunya.. Ini bayi gk tau dosa ibu bapaknya woey!! bloghhh biadab lah org2 yg sukanya ngomongin orang terus
yg,yang,@setyorini_78 ya ampun anda .. Cukup Bully ortunya.. Ini bayi gk tau dosa ibu bapaknya woey!! bloghhh biadab lah org2 yg sukanya ngomongin orang terus
ngomongin,mengomongkan,@setyorini_78 ya ampun anda .. Cukup Bully ortunya.. Ini bayi gk tau dosa ibu bapaknya woey!! bloghhh biadab lah org2 yg sukanya ngomongin orang terus
nyimak,menyimak,Nyimak doank lbh seru baca komen nya orang2 naif vs orang2 ababil
doank,doang,Nyimak doank lbh seru baca komen nya orang2 naif vs orang2 ababil
lbh,lebih,Nyimak doank lbh seru baca komen nya orang2 naif vs orang2 ababil
orang2,orang-orang,Nyimak doank lbh seru baca komen nya orang2 naif vs orang2 ababil
orang2,orang-orang,Nyimak doank lbh seru baca komen nya orang2 naif vs orang2 ababil
nangis,menangis,@setyorini_78 semua bayi kalo baru lahir pasti nangis.. Kalo gak nangis itu berarti bayi nya cacat !!
abal,abal-abal,"Anak abal"""
kasian,kasihan,YaAlloh kasian banget bayinya udah dikata2in ?
dikata2in,dikata-katai,YaAlloh kasian banget bayinya udah dikata2in ?
bnyk,banyak,"anjir masih bayi aja bnyk yg ngehina, gmna makin gede. nyahaha."
yg,yang,"anjir masih bayi aja bnyk yg ngehina, gmna makin gede. nyahaha."
ngehina,menghina,"anjir masih bayi aja bnyk yg ngehina, gmna makin gede. nyahaha."
gmna,bagaimana,"anjir masih bayi aja bnyk yg ngehina, gmna makin gede. nyahaha."
smoga,semoga,"SUCInya Bayi kecil mungil itu. . . ? Smoga jd anak yg Sholeh berguna dimasa depan, agar kelak bs jd Kebanggan u' Sang Bunda dan Ayahnya. Amin"
jd,jadi,"SUCInya Bayi kecil mungil itu. . . ? Smoga jd anak yg Sholeh berguna dimasa depan, agar kelak bs jd Kebanggan u' Sang Bunda dan Ayahnya. Amin"
yg,yang,"SUCInya Bayi kecil mungil itu. . . ? Smoga jd anak yg Sholeh berguna dimasa depan, agar kelak bs jd Kebanggan u' Sang Bunda dan Ayahnya. Amin"
bs,bisa,"SUCInya Bayi kecil mungil itu. . . ? Smoga jd anak yg Sholeh berguna dimasa depan, agar kelak bs jd Kebanggan u' Sang Bunda dan Ayahnya. Amin"
jd,jadi,"SUCInya Bayi kecil mungil itu. . . ? Smoga jd anak yg Sholeh berguna dimasa depan, agar kelak bs jd Kebanggan u' Sang Bunda dan Ayahnya. Amin"
kebanggan,kebanggaan,"SUCInya Bayi kecil mungil itu. . . ? Smoga jd anak yg Sholeh berguna dimasa depan, agar kelak bs jd Kebanggan u' Sang Bunda dan Ayahnya. Amin"
udah,sudah,muljem udah di bullli masih aja angkuh and sombong..ngaca donk muljem jg makin benci dah wuekkkkkkk
ngaca,mengaca,muljem udah di bullli masih aja angkuh and sombong..ngaca donk muljem jg makin benci dah wuekkkkkkk
donk,dong,muljem udah di bullli masih aja angkuh and sombong..ngaca donk muljem jg makin benci dah wuekkkkkkk
jg,juga,muljem udah di bullli masih aja angkuh and sombong..ngaca donk muljem jg makin benci dah wuekkkkkkk
dah,deh,muljem udah di bullli masih aja angkuh and sombong..ngaca donk muljem jg makin benci dah wuekkkkkkk
jngn,jangan,Jngn suka menghina
klo,kalo,Klo anak kalian di hina seperti itu gimana... biarkan proses karma yang mnjawab
gimana,bagaimana,Klo anak kalian di hina seperti itu gimana... biarkan proses karma yang mnjawab
mnjawab,menjawab,Klo anak kalian di hina seperti itu gimana... biarkan proses karma yang mnjawab
woooiiiiiiii,woy,Dosa woooiiiiiiii dosaaaaaaaaaa. Ingt karmaaa woooiiiii
dosaaaaaaaaaa,dosa,Dosa woooiiiiiiii dosaaaaaaaaaa. Ingt karmaaa woooiiiii
ingt,ingat,Dosa woooiiiiiiii dosaaaaaaaaaa. Ingt karmaaa woooiiiii
karmaaa,karma,Dosa woooiiiiiiii dosaaaaaaaaaa. Ingt karmaaa woooiiiii
woooiiiii,woy,Dosa woooiiiiiiii dosaaaaaaaaaa. Ingt karmaaa woooiiiii
yg,yang,yg punya ig nya adem ayem...yg ribut yg komen...saya mah mau jual kacang rebus aja disini lah...kali aja laku...amin
yg,yang,yg punya ig nya adem ayem...yg ribut yg komen...saya mah mau jual kacang rebus aja disini lah...kali aja laku...amin
ngkkkkkk,mengakak,"Cp ny bikin ngkkkkkk,,yg ad pengikut makny perebut suami orng,,,,,wdooohhh,,ank ap y,,,ehemmmm"
yg,yang,"Cp ny bikin ngkkkkkk,,yg ad pengikut makny perebut suami orng,,,,,wdooohhh,,ank ap y,,,ehemmmm"
ad,ada,"Cp ny bikin ngkkkkkk,,yg ad pengikut makny perebut suami orng,,,,,wdooohhh,,ank ap y,,,ehemmmm"
makny,maknya,"Cp ny bikin ngkkkkkk,,yg ad pengikut makny perebut suami orng,,,,,wdooohhh,,ank ap y,,,ehemmmm"
orng,orang,"Cp ny bikin ngkkkkkk,,yg ad pengikut makny perebut suami orng,,,,,wdooohhh,,ank ap y,,,ehemmmm"
wdooohhh,waduh,"Cp ny bikin ngkkkkkk,,yg ad pengikut makny perebut suami orng,,,,,wdooohhh,,ank ap y,,,ehemmmm"
ank,anak,"Cp ny bikin ngkkkkkk,,yg ad pengikut makny perebut suami orng,,,,,wdooohhh,,ank ap y,,,ehemmmm"
ap,apa,"Cp ny bikin ngkkkkkk,,yg ad pengikut makny perebut suami orng,,,,,wdooohhh,,ank ap y,,,ehemmmm"
y,ya,"Cp ny bikin ngkkkkkk,,yg ad pengikut makny perebut suami orng,,,,,wdooohhh,,ank ap y,,,ehemmmm"
kasihn,kasihan,"Kasihn bru lhirr,,dpt bulian...nd hujatann palgi kl dh besar,,,"
bru,baru,"Kasihn bru lhirr,,dpt bulian...nd hujatann palgi kl dh besar,,,"
lhirr,lahir,"Kasihn bru lhirr,,dpt bulian...nd hujatann palgi kl dh besar,,,"
dpt,dapat,"Kasihn bru lhirr,,dpt bulian...nd hujatann palgi kl dh besar,,,"
hujatann,hujatan,"Kasihn bru lhirr,,dpt bulian...nd hujatann palgi kl dh besar,,,"
palgi,apalagi,"Kasihn bru lhirr,,dpt bulian...nd hujatann palgi kl dh besar,,,"
kl,kalo,"Kasihn bru lhirr,,dpt bulian...nd hujatann palgi kl dh besar,,,"
dh,dah,"Kasihn bru lhirr,,dpt bulian...nd hujatann palgi kl dh besar,,,"
yaa,ya,Follow yaa
wihhh,wih,wihhh kakakkk cantik bgt
kakakkk,kakak,wihhh kakakkk cantik bgt
bgt,banget,wihhh kakakkk cantik bgt
bagusss,bagus,"Bagusss, bangat @julstelle"
bangat,banget,"Bagusss, bangat @julstelle"
yah,ya,"Hi sis, Aku dari AccessorizeID and i'm such a big fan of you. Aku mau tanya kalo aku boleh endorse for u. Pls line me yah at Accessorize_id :) Thankyou"
yuuk,yuk,"GROSIR & ECER pakaian, tas, flatshoes, aksesoris dll. Cuss follow dan Cek ig kita yuuk!! Harga super murah banyak SALE di akhir bulan juga loh"
yaa,ya,"K jullee,,fllbck yaa :)"
bgt,banget,MasyaAllah cantik bgt
jt,juta,"@cicimaulanii @kesia_natalia ini yang kata cici alila di bali. Vila nya 20jt an , ajak berapa puluh orang baru berangkat? Wkwkwk"
ngets,banget,???zara hnm f21 murah.. Cantik ngets kak
stp,setiap,Only today..get special proces stp penbelian aksesoris kalung :)
penbelian,pembelian,Only today..get special proces stp penbelian aksesoris kalung :)
cuaantik,cantik,Cuaantik
sukakkk,suka,"Sukakkk bgt m julie,,,,,,"
bgt,banget,"Sukakkk bgt m julie,,,,,,"
m,sama,"Sukakkk bgt m julie,,,,,,"
pingin,pengin,Pingin punya tutu skirt keren yg bisa di costum made? Check ig kita. Don't miss it!!
yg,yang,Pingin punya tutu skirt keren yg bisa di costum made? Check ig kita. Don't miss it!!
jgn,jangan,@rirhyn_jhuliani jgn jealous yak hihihi ?
yak,ya,@rirhyn_jhuliani jgn jealous yak hihihi ?
yaa,ya,Yaa ampun cucokkk bngettt bkin meleleh lyt expresi @billydavidson_ natap audi
cucokkk,cocok,Yaa ampun cucokkk bngettt bkin meleleh lyt expresi @billydavidson_ natap audi
bngettt,banget,Yaa ampun cucokkk bngettt bkin meleleh lyt expresi @billydavidson_ natap audi
bkin,bikin,Yaa ampun cucokkk bngettt bkin meleleh lyt expresi @billydavidson_ natap audi
lyt,lihat,Yaa ampun cucokkk bngettt bkin meleleh lyt expresi @billydavidson_ natap audi
expresi,ekspresi,Yaa ampun cucokkk bngettt bkin meleleh lyt expresi @billydavidson_ natap audi
natap,menatap,Yaa ampun cucokkk bngettt bkin meleleh lyt expresi @billydavidson_ natap audi
gilaaa,gila,Gilaaa cocok bgt @billydavidson_ @audimarissa
bgt,banget,Gilaaa cocok bgt @billydavidson_ @audimarissa
gk,enggak,Gk ccok
ccok,cocok,Gk ccok
helloo,halo,@rivanyaayu_31  helloo kan pendapat orang masing masing
yg,yang,@rivanyaayu_31 haha berarti anda yg salah presepsi
emang,memang,Emang beneran pacaran?
mh,mah,@mariamarizka ya cocokan audi lah...michel mh kan udah punya marcell darwin ... lagian body audi lebih bohay dripada michel kerempeng
udah,sudah,@mariamarizka ya cocokan audi lah...michel mh kan udah punya marcell darwin ... lagian body audi lebih bohay dripada michel kerempeng
dripada,daripada,@mariamarizka ya cocokan audi lah...michel mh kan udah punya marcell darwin ... lagian body audi lebih bohay dripada michel kerempeng
sama2,sama-sama,Sama2 flat haha
difotoin,difoto,"Bisa usul,please difotoin dong Jessica Mila&Kevin Julio,mreka psangan yg romantis skali, @dierabachir sama kayak Audi Billy"
mreka,mereka,"Bisa usul,please difotoin dong Jessica Mila&Kevin Julio,mreka psangan yg romantis skali, @dierabachir sama kayak Audi Billy"
psangan,pasangan,"Bisa usul,please difotoin dong Jessica Mila&Kevin Julio,mreka psangan yg romantis skali, @dierabachir sama kayak Audi Billy"
yg,yang,"Bisa usul,please difotoin dong Jessica Mila&Kevin Julio,mreka psangan yg romantis skali, @dierabachir sama kayak Audi Billy"
skali,sekali,"Bisa usul,please difotoin dong Jessica Mila&Kevin Julio,mreka psangan yg romantis skali, @dierabachir sama kayak Audi Billy"
knp,kenapa,knp ini sweet bgttt
bgttt,banget,knp ini sweet bgttt
cakepp,cakep,Cakepp @karenshuang_ ??
ngiriii,mengiri,Ngiriii ?
coxok,cocok,Coxok bgt kak @audimarissa & kak @billydavidson_
bgt,banget,Coxok bgt kak @audimarissa & kak @billydavidson_
buatin,buatkan,Kak buatin lg napa photoshoot @audimarissa  @billydavidson_ @ijunalkaff  plisss yahhh kak??
lg,lagi,Kak buatin lg napa photoshoot @audimarissa  @billydavidson_ @ijunalkaff  plisss yahhh kak??
napa,kenapa,Kak buatin lg napa photoshoot @audimarissa  @billydavidson_ @ijunalkaff  plisss yahhh kak??
yahhh,ya,Kak buatin lg napa photoshoot @audimarissa  @billydavidson_ @ijunalkaff  plisss yahhh kak??
binggo,banget,Envy binggo cak kapan aku ro dimas koyo ngono uhuk @ocaak_
yng,yang,Terus yng ini @sylviarivian
udah,sudah,Udah liat ? @nasyawalia
liat,lihat,Udah liat ? @nasyawalia
nihhh,nih,@monicasterina nihhh
statusx,statusnya,Statusx cem @aliandooo @prillylatuconsina96 yee..masih sahabatan mulu klo di tanya..
